id_pais,pais,id_departamento,departamento,id_provincia,provincia,id_municipio,municipio,id_nombre_completo,nombre_completo,id_organizacion_politica,organizacion_politica,id_cargo,cargo
1,Bolivia,1,Chuquisaca,1,Azurduy,1,Azurduy,1,JUAN RIOS IBARRA,1,MOVIMIENTO TERCER SISTEMA,1,Alcalde
1,Bolivia,1,Chuquisaca,1,Azurduy,1,Azurduy,2,FELIPE ALBAREZ VILLARROEL,2,ALIANZA GENTE NUEVA,1,Alcalde
1,Bolivia,1,Chuquisaca,1,Azurduy,1,Azurduy,3,ROBERTO TORREZ CONDORI,3,LIBERTAD Y REPÚBLICA,1,Alcalde
1,Bolivia,1,Chuquisaca,1,Azurduy,2,Tarvita,4,SANTIAGO LOPEZ APAZA,4,POR SIEMPRE CHUQUISACA,1,Alcalde
1,Bolivia,1,Chuquisaca,1,Azurduy,2,Tarvita,5,ANTONIO VIDALES QUISPE,1,MOVIMIENTO TERCER SISTEMA,1,Alcalde
1,Bolivia,1,Chuquisaca,1,Azurduy,2,Tarvita,6,ROLANDO MENDIETA OTONDO,2,ALIANZA GENTE NUEVA,1,Alcalde
1,Bolivia,1,Chuquisaca,1,Azurduy,2,Tarvita,7,MARCIAL NAVARRO SABALA,5,NUEVA GENERACIÓN PATRIÓTICA,1,Alcalde
1,Bolivia,1,Chuquisaca,1,Azurduy,2,Tarvita,8,HUGO RAMIRO FUENTES MARTINEZ,6,ALIANZA PATRIA UNIDOS,1,Alcalde
1,Bolivia,1,Chuquisaca,2,Belisario Boeto,3,Villa Serrano,9,HUGO HENRY APAHAZA JIMENEZ,7,FRENTE REVOLUCIONARIO DE IZQUIERDA,1,Alcalde
1,Bolivia,1,Chuquisaca,2,Belisario Boeto,3,Villa Serrano,10,ROSENDO NAVA ROMERO,4,POR SIEMPRE CHUQUISACA,1,Alcalde
1,Bolivia,1,Chuquisaca,2,Belisario Boeto,3,Villa Serrano,11,JHILSON BENAVIDES CESPEDES,2,ALIANZA GENTE NUEVA,1,Alcalde
1,Bolivia,1,Chuquisaca,2,Belisario Boeto,3,Villa Serrano,12,LORENZO GALARZA BENAVIDES,6,ALIANZA PATRIA UNIDOS,1,Alcalde
1,Bolivia,1,Chuquisaca,3,Hernando Siles,4,Huacareta,13,JOSE GABRIEL LOPEZ CAMACHO,2,ALIANZA GENTE NUEVA,1,Alcalde
1,Bolivia,1,Chuquisaca,3,Hernando Siles,4,Huacareta,14,GONZALO MALDONADO IBAÑEZ,5,NUEVA GENERACIÓN PATRIÓTICA,1,Alcalde
1,Bolivia,1,Chuquisaca,3,Hernando Siles,5,Monteagudo,15,PAOLO CESAR ALCOBA LOPEZ,2,ALIANZA GENTE NUEVA,1,Alcalde
1,Bolivia,1,Chuquisaca,3,Hernando Siles,5,Monteagudo,16,JUAN CABRERA CARREON,5,NUEVA GENERACIÓN PATRIÓTICA,1,Alcalde
